pcdate pctime time date  flags o3 hio3 cellai cellbi bncht lmpt o3lt flowa flowb pres
2022-01-01 03:50:02 03:50 01-01-22 0C100500 26.494 0.000 69661 71003 28.0 53.1 0.0 0.255 0.000 494.6
2022-01-01 03:51:01 03:51 01-01-22 0C100500 26.578 0.000 69668 71011 28.0 53.1 0.0 0.257 0.000 494.6
2022-01-01 03:52:00 03:51 01-01-22 0C100500 26.578 0.000 69668 71011 28.0 53.1 0.0 0.257 0.000 494.6
2022-01-01 03:53:01 03:52 01-01-22 0C100500 27.026 0.000 69660 71001 28.0 53.2 0.0 0.256 0.000 494.3
2022-01-01 03:54:01 03:54 01-01-22 0C100500 27.005 0.000 69668 71012 28.0 53.1 0.0 0.254 0.000 494.3
2022-01-01 03:55:01 03:55 01-01-22 0C100500 26.828 0.000 69673 71018 28.0 53.1 0.0 0.257 0.000 494.6
2022-01-01 03:56:01 03:56 01-01-22 0C100500 26.752 0.000 69665 71008 28.0 53.1 0.0 0.259 0.000 494.6
2022-01-01 03:57:01 03:57 01-01-22 0C100500 26.361 0.000 69665 71008 28.0 53.0 0.0 0.256 0.000 494.6
2022-01-01 03:58:00 03:57 01-01-22 0C100500 26.361 0.000 69665 71008 28.0 53.0 0.0 0.256 0.000 494.6
2022-01-01 03:59:01 03:58 01-01-22 0C100500 26.213 0.000 69665 71009 28.0 53.1 0.0 0.252 0.000 494.6
